PLAYERS		STATUS			WK 8			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Steve Smith, Bal WR		GREG			@Cin	L 24-27		0/0	0	0	0		0	0	0		3	35	0	9		0	0	0		3
Matt Bryant, Atl K		WA (Wed)			Det	L 21-22		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		3
Jerricho Cotchery, Car WR		WA (Wed)			Sea	L 9-13		0/0	0	0	0		0	0	0		3	33	0	5		0	0	0		3
Nick Novak, SD K		CHB			@Den	L 21-35		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		3
Lance Moore, Pit WR		WA (Wed)			Ind	W 51-34		0/0	0	0	0		0	0	0		2	33	0	3		0	0	0		3
Brandon Marshall, Chi WR  P		PERO			@NE	L 23-51		0/0	0	0	0		0	0	0		3	35	0	10		0	0	0		3
Miles Austin, Cle WR		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		2	34	0	2		0	0	0		3
Marcel Reece, Oak RB		WA (Wed)			@Cle	L 13-23		0/0	0	0	0		0	0	0		5	34	0	6		0	0	0		3
Brandon Tate, Cin WR		WA (Wed)			Bal	W 27-24		0/0	0	0	0		0	0	0		2	30	0	2		0	0	0		3
Dexter McCluster, Ten WR, RB		WA (Wed)			Hou	L 16-30		0/0	0	0	0		2	1	0		4	39	0	4		0	0	0		3
Jermaine Gresham, Cin TE		WA (Wed)			Bal	W 27-24		0/0	0	0	0		0	0	0		4	34	0	4		0	0	0		3
Roy Helu, Wsh RB		WA (Wed)			@Dal	W 20-17		0/0	0	0	0		5	29	0		2	14	0	2		0	0	0		3
Jeremy Ross, Det WR		WA (Wed)			@Atl	W 22-21		0/0	0	0	0		0	0	0		3	31	0	4		0	0	0		3
