"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Keshawn Martin",3000,"Cin@Hou 01:00PM ET",0.740
"TE","MarQueis Gray",3000,"GB@Min 01:00PM ET",0.325
"WR","DeVier Posey",3000,"Cin@Hou 01:00PM ET",0
"WR","Jarrett Boykin",3000,"GB@Min 01:00PM ET",0.529
"WR","Travis Benjamin",3000,"Cle@Atl 01:00PM ET",6.100
"RB","Jordan Todman",3000,"Jax@Ind 01:00PM ET",2.780
"TE","Ryan Griffin",3000,"Cin@Hou 01:00PM ET",0.340
"TE","Chris Gragg",3000,"NYJ@Buf 07:00PM ET",1.633
"WR","Jarius Wright",3000,"GB@Min 01:00PM ET",6.210
"RB","Brandon Bolden",3000,"Det@NE 01:00PM ET",0.530
"TE","Luke Willson",3000,"Ari@Sea 04:05PM ET",3.333
"WR","Damaris Johnson",3000,"Cin@Hou 01:00PM ET",4.720
"TE","Ladarius Green",3000,"StL@SD 04:05PM ET",3.400
"RB","Lance Dunbar",3000,"Dal@NYG 08:30PM ET",3.690
"TE","Joseph Fauria",3000,"Det@NE 01:00PM ET",2.475
"TE","Kyle Rudolph",3000,"GB@Min 01:00PM ET",6.400
"TE","Josh Hill",3000,"Bal@NO 08:30PM ET",3.920
"TE","Jack Doyle",3000,"Jax@Ind 01:00PM ET",2.080
"WR","Russell Shepard",3000,"TB@Chi 01:00PM ET",0.500
"TE","Vance McDonald",3000,"Was@SF 04:25PM ET",0.500
"RB","Mike James",3000,"TB@Chi 01:00PM ET",0.525
"WR","Ryan Grant",3000,"Was@SF 04:25PM ET",1.070
"RB","Rex Burkhead",3000,"Cin@Hou 01:00PM ET",2.640
"TE","Justin Perillo",3000,"GB@Min 01:00PM ET",0.000
"WR","Mike Campanaro",3000,"Bal@NO 08:30PM ET",6.833
"RB","Kyle Juszczyk",3000,"Bal@NO 08:30PM ET",3.440
"TE","Ryan Hewitt",3000,"Cin@Hou 01:00PM ET",0.480
"RB","Stepfan Taylor",3000,"Ari@Sea 04:05PM ET",4.538
"TE","Levine Toilolo",3000,"Cle@Atl 01:00PM ET",3.920
"RB","Zac Stacy",3000,"StL@SD 04:05PM ET",7.275
