PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Marqise Lee, Jac WR		WA (Wed)			@Ind	L 3-23		0/0	0	0	0		0	0	0		3	52	0	5		0	0	0		5
Josh Brown, NYG K		WA (Wed)			Dal	L 28-31		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		4
Dwayne Bowe, KC WR		WA (Wed)			@Oak	L 20-24		0/0	0	0	0		0	0	0		3	42	0	5		0	0	0		4
Brent Celek, Phi TE		WA (Wed)			Ten	W 43-24		0/0	0	0	0		0	0	0		5	48	0	7		0	0	0		4
Pierre Thomas, NO RB  P		RUCK			Bal	L 27-34		0/0	0	0	0		5	19	0		6	37	0	8		0	0	0		4
Brandon Gibson, Mia WR		WA (Wed)			@Den	L 36-39		0/0	0	0	0		0	0	0		5	42	0	6		0	0	0		4
Toby Gerhart, Jac RB		WA (Wed)			@Ind	L 3-23		0/0	0	0	0		4	31	0		3	19	0	4		0	0	0		4
Riley Cooper, Phi WR		WA (Wed)			Ten	W 43-24		0/0	0	0	0		0	0	0		3	49	0	6		0	0	0		4
Garrett Graham, Hou TE		GREG			Cin	L 13-22		0/0	0	0	0		0	0	0		4	41	0	7		0	0	0		4
Joique Bell, Det RB		GREG			@NE	L 9-34		0/0	0	0	0		19	48	0		1	-2	0	2		0	0	0		4
Bruce Miller, SF RB  P		WA (Wed)			Wsh	W 17-13		0/0	0	0	0		0	0	0		3	40	0	3		0	0	0		4
Ricardo Lockette, Sea WR		WA (Wed)			Ari	W 19-3		0/0	0	0	0		0	0	0		1	48	0	1		0	0	0		4
Nick Toon, NO WR		WA (Wed)			Bal	L 27-34		0/0	0	0	0		0	0	0		3	42	0	5		0	0	0		4
Jonathan Grimes, Hou RB		WA (Wed)			Cin	L 13-22		0/0	0	0	0		2	16	0		3	32	0	4		0	0	0		4
Caleb Sturgis, Mia K		NOMS			@Den	L 36-39		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		4
Denard Robinson, Jac RB		PERO			@Ind	L 3-23		0/0	0	0	0		14	25	0		4	47	0	5		0	1	0		4
Packers D/ST D/ST		RUCK			@Min	W 24-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		4
Andre Johnson, Hou WR		WA (Wed)			Cin	L 13-22		0/0	0	0	0		0	0	0		3	36	0	12		0	0	0		3
Josh Scobee, Jac K		WA (Wed)			@Ind	L 3-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		3
Malcom Floyd, SD WR		WA (Wed)			StL	W 27-24		0/0	0	0	0		0	0	0		4	30	0	5		0	0	0		3
Brandon Marshall, Chi WR  Q		PERO			TB	W 21-13		0/0	0	0	0		0	0	0		3	32	0	5		0	0	0		3
